Jean_Bartik	//upload.wikimedia.org/wikipedia/commons/thumb/3/3b/Two_women_operating_ENIAC.gif/200px-Two_women_operating_ENIAC.gif	Jean Bartik, nascida Betty Jean Jennings1 (27 de dezembro de 1924 – 23 de março de 2011) foi uma das programadoras originais do computador ENIAC.	 Estadunidense	|Nascidos em 1924|Mortos em 2011|Programadores dos Estados Unidos|Pessoas em tecnologia de informação|Mulheres cientistas da computação|Mulheres na tecnologia|Mortes por acidente vascular cerebral|	
Jean_E._Sammet	sem foto	Jean E. Sammet (23 de março de 19281 – 20 de maio de 2017) foi uma cientista da computação americana que desenvolveu a linguagem FORMAC em 1962.2	Estadunidense	|Nascidos em 1928|Mortos em 2017|Cientistas da computação dos Estados Unidos|Fellows da ACM|Mulheres cientistas da computação|Matemáticas|Mulheres na tecnologia|Naturais de Nova Iorque (cidade)|	
Jessica_Fridrich	//upload.wikimedia.org/wikipedia/commons/thumb/0/0f/JessicaFridrich.jpg/250px-JessicaFridrich.jpg	nao deu Tchecoslováquia	|Nascidos em 1963|Nascidos em 1964|Engenheiros eletricistas|Mulheres cientistas da computação|	
Joan_Feigenbaum	sem foto	Joan Feigenbaum (Brooklyn, 1958) é uma cientista da computação teórica com formação em matemática. É Professora da Cátedra Grace Murray Hopper de Ciência da Computação da Universidade Yale.1		|Nascidos em 1958|Membros da Associação Americana para o Avanço da Ciência|Fellows da ACM|Professores da Universidade Yale|Matemáticas|Mulheres cientistas da computação|Cientistas da computação dos Estados Unidos|Matemáticos dos Estados Unidos do século XX|Matemáticos dos Estados Unidos do século XXI|Alunos da Universidade Harvard|Alunos da Universidade Stanford|Naturais de Brooklyn|	
Joyce_K._Reynolds	sem foto	Joyce K. Reynolds (m. 28 de dezembro de  2015) foi uma cientista da computação norte-americana e uma das pioneiras da Internet.		|Nascidos no século XX|Mortos em 2015|Cientistas da computação dos Estados Unidos|Mulheres na ciência|Pioneiros da Internet|	
Karen_Aardal	//upload.wikimedia.org/wikipedia/commons/thumb/f/f6/Karen_Aardal_MFO.jpg/200px-Karen_Aardal_MFO.jpg	Karen I. Aardal (Noruega, 1961)1 é uma matemática, cientista da computação e pesquisadora operacional norueguesa e neerlandesa. Suas pesquisas envolvem otimização combinatória, programação inteira, algoritmo de aproximação e facility location, com aplicações tais como o posicionamento de veículos de emergência para otimizar seu tempo de resposta.2 É professora do Delft Institute of Applied Mathematics da Universidade Técnica de Delft3 e catedrática da Mathematical Optimization Society no período 2016–2019.45		|Nascidos em 1961|Professores da Universidade Tecnológica de Eindhoven|Professores da Universidade Técnica de Delft|Especialistas em pesquisa operacional|Matemáticas|Mulheres cientistas da computação|Matemáticos da Noruega|Matemáticos dos Países Baixos|Cientistas da computação da Noruega|Cientistas da computação dos Países Baixos|	
Karen_SpÃ¤rck_Jones	sem foto	Karen Spärck Jones FBA (26 de agosto de 1935 - 4 de abril de 2007) foi uma cientista da computação britânica que foi responsável pela criação do conceito da frequência inversa de documentos, uma tecnologia que sustenta os mecanismos de buscas mais modernos.12 Em 2019, o The New York Times publicou seu obituário tardio em sua série Overlooked, chamando ela de “a pioneira da ciência da computação para trabalhos combinando estatísticas e linguísticas, e uma defensora das mulheres neste segmento”.3		|Nascidos em 1935|Mortos em 2007|Mulheres cientistas do Reino Unido|Naturais de Huddersfield|Alunos do Girton College|Cientistas da computação do Reino Unido|Pesquisadores da inteligência artificial|Membros da British Academy|	
Katie_Bouman	sem foto	Katherine Louise Bouman (West Lafayette, Indiana, 9 de maio de 1989) é uma professora assistente de ciência da computação no Instituto de Tecnologia da Califórnia. Ela pesquisa métodos computacionais para geração de imagens e foi uma das pessoas responsáveis pela reprodução da primeira imagem de um buraco negro. Bouman foi responsável pela liderança e desenvolvimento do algoritmo responsável pelo cruzamento e correção de dados obtidos usando o Event Horizon Telescope.123		|Nascidos em 1989|Mulheres cientistas da computação|Cientistas da computação dos Estados Unidos|Alunos da Universidade de Michigan|Alunos do Instituto de Tecnologia de Massachusetts|	
Leah_Jamieson	sem foto	Leah H. Jamieson (Trenton, 27 de agosto de 1949) é uma engenheira estadunidense.		|Nascidos em 1949|Engenheiros dos Estados Unidos|Mulheres cientistas da computação|	
Lois_Haibt	sem foto	Lois Haibt é uma cientista da computação estadunidense.	 Estadunidense	|Fortran|Pioneiros da computação|Programadores dos Estados Unidos|Mulheres cientistas da computação|	
